,avgGas,timestamp,samples,tokenPrice_open,tokenPrice_close,tokenPrice_low,tokenPrice_high,txFee_open,txFee_close,txFee_low,txFee_high,gasPrice_open,gasPrice_close,gasPrice_low,gasPrice_high,token_name
0,201254.4722,2021-03-18T12:59:38.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,6.272796344840788e-05,0.0001265104389828125,5.629007532131789e-05,0.0001265104389828125,1.0,1.0,1.0,1.0,poly
1,110184.2619,2021-03-18T12:31:32.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,2.2004556032900002e-05,3.9181320483450524e-05,2.2004556032900002e-05,7.3237839890355e-05,1.0,1.0,1.0,1.0,poly
2,122657.43333333333,2021-03-18T12:02:48.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,6.201576031161e-05,4.459796065452e-05,4.302714197796701e-05,6.201576031161e-05,1.0,1.0,1.0,1.0,poly
3,130432.039875,2021-03-18T11:25:54.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,4.626874788758216e-05,5.253699121690861e-05,4.626874788758216e-05,5.8216060260806e-05,1.0,1.0,1.0,1.0,poly
4,165767.125,2021-03-18T11:07:44.000Z,2,0.40666339,0.40666339,0.40666339,0.40666339,7.022029587070751e-05,6.460254613540001e-05,6.460254613540001e-05,7.022029587070751e-05,1.0,1.0,1.0,1.0,poly
5,218088.099725,2021-03-18T10:28:28.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,5.8771177951310754e-05,5.601643604015052e-05,5.601643604015052e-05,0.00014533864894227,1.0,1.0,1.0,1.0,poly
6,342530.8666666667,2021-03-18T10:00:30.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,0.00014639434710271,0.000106897084016282,0.000106897084016282,0.000164592859135922,1.0,1.0,1.0,1.0,poly
7,207813.47679999997,2021-03-18T09:32:32.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,6.0098464426777004e-05,4.607501511590606e-05,4.607501511590606e-05,0.00014735691934684002,1.0,1.0,1.0,1.0,poly
8,172836.6515,2021-03-18T09:03:08.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,4.9856524950610005e-05,8.109559324363001e-05,4.9856524950610005e-05,8.109559324363001e-05,1.0,1.0,1.0,1.0,poly
9,141068.95415,2021-03-18T08:25:39.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,5.881678342051401e-05,5.821155983906789e-05,5.521780562773539e-05,5.881678342051401e-05,1.0,1.0,1.0,1.0,poly
10,118099.4985,2021-03-18T07:58:07.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,5.821155983906789e-05,0.00013026909795430262,3.699462608461376e-05,0.00013026909795430262,1.0,5.0,1.0,5.0,poly
11,451050.2598666667,2021-03-18T07:34:07.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,0.0002822266293086451,5.6275142478971735e-05,5.6275142478971735e-05,0.0002822266293086451,1.0,1.0,1.0,1.0,poly
12,192277.88066666666,2021-03-18T07:04:03.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,0.00010036023618322076,4.884045105423313e-05,4.884045105423313e-05,0.00010036023618322076,1.0,1.0,1.0,1.0,poly
13,156462.183325,2021-03-18T06:27:31.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,6.948551612448601e-05,8.474336385193e-05,5.446497002699789e-05,0.00022907958753785003,1.0,1.0,1.0,5.0,poly
14,377171.6666666667,2021-03-18T06:01:43.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,0.00039884853963437005,2.0149182782462302e-05,2.0149182782462302e-05,0.00039884853963437005,1.0,1.01,1.0,1.01,poly
15,277601.15873333334,2021-03-18T05:33:51.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,9.97357552602729e-05,3.1323712390338436e-05,3.1323712390338436e-05,0.00020761121718466502,1.0,1.0,1.0,1.0,poly
16,284289.9964333333,2021-03-18T05:04:38.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,5.633946235338475e-05,7.444439451194448e-05,5.633946235338475e-05,0.00021604714421267254,1.0,1.0,1.0,1.0,poly
17,247094.0,2021-03-18T04:27:00.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,0.00010079213120658502,1.1212522989080001e-05,1.1212522989080001e-05,0.00024227398455809503,1.0,1.0,1.0,1.0,poly
18,171360.7255,2021-03-18T03:59:08.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,6.159283038601e-05,8.634236430141001e-05,6.112320594664834e-05,8.634236430141001e-05,1.0,1.0,1.0,1.0,poly
19,214244.33333333334,2021-03-18T03:32:05.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,8.439688664365e-05,0.0002196704811425121,8.439688664365e-05,0.0002196704811425121,5.0,1.0,1.0,5.0,poly
20,176554.875,2021-03-18T03:03:05.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,5.248113046967001e-05,8.171738156694001e-05,5.248113046967001e-05,8.171738156694001e-05,1.0,1.0,1.0,1.0,poly
21,93693.433425,2021-03-18T02:26:37.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,5.3450900655803015e-05,5.239688860311063e-05,2.967959044175563e-05,8.439688664365e-05,1.0,1.0,1.0,5.0,poly
22,165090.14156666666,2021-03-18T01:58:41.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,6.25095235984743e-05,7.732850759670401e-05,6.157031868006344e-05,7.732850759670401e-05,1.0,1.0,1.0,1.0,poly
23,578267.4352000001,2021-03-18T01:30:45.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,0.00025556903076736503,0.00039884365967369004,5.106789613405699e-05,0.00039884365967369004,1.0,1.0,1.0,1.0,poly
24,247462.21296666667,2021-03-18T01:02:49.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,8.03320149381179e-05,4.9266451872396264e-05,4.9266451872396264e-05,0.0001750916675423825,1.0,1.06,1.0,1.06,poly
25,146410.625,2021-03-18T00:28:29.000Z,4,0.40666339,0.40666339,0.40666339,0.40666339,5.5426186740050006e-05,6.818746874676076e-05,5.5426186740050006e-05,6.818746874676076e-05,1.0,1.0,1.0,1.0,poly
26,219716.6,2021-03-18T00:00:19.000Z,3,0.40666339,0.40666339,0.40666339,0.40666339,0.00019293941206855,0.000118556936734362,5.302544941718501e-05,0.00019293941206855,2.0,1.0,1.0,2.0,poly
27,211246.61490000002,2021-03-17T23:34:31.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,3.972625599032995e-05,6.324446635105369e-05,3.972625599032995e-05,0.00013392220122943873,1.0,1.0,1.0,1.0,poly
28,157227.866525,2021-03-17T22:55:55.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,6.231102404763859e-05,9.469215118266001e-05,2.2517541609005327e-05,9.469215118266001e-05,1.0,1.0,1.0,1.0,poly
29,242913.93703333335,2021-03-17T22:30:07.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,7.1710160275506e-05,8.268433773370501e-05,7.1710160275506e-05,0.00011801030595493999,1.0,1.0,1.0,1.0,poly
30,199250.54744999998,2021-03-17T21:55:43.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,4.3448260137255e-05,4.9106718177783005e-05,4.3448260137255e-05,0.00012879655678722007,1.0,1.0,1.0,1.0,poly
31,242887.54166666666,2021-03-17T21:28:15.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,8.443274766508876e-05,6.919627022595e-05,6.919627022595e-05,0.00011874618618777751,1.0,1.0,1.0,1.0,poly
32,251990.44443333335,2021-03-17T21:04:11.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,0.00014187873810872997,4.717562209365e-05,4.717562209365e-05,0.00014187873810872997,1.0,1.0,1.0,1.0,poly
33,161256.89445,2021-03-17T20:29:47.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,4.906286295992004e-05,7.212687422115e-05,1.609327727109e-05,0.000103829281021674,1.0,1.0,1.0,1.0,poly
34,259439.5674666667,2021-03-17T20:01:31.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,0.00013709046513486005,2.69666965268775e-05,2.69666965268775e-05,0.00013709046513486005,1.0,1.0,1.0,1.0,poly
35,180319.186925,2021-03-17T19:27:07.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,2.6048235030000052e-05,0.00012206270912503506,2.6048235030000052e-05,0.00012206270912503506,1.0,1.0,1.0,1.0,poly
36,172579.81626666666,2021-03-17T19:01:17.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,6.994898191932005e-05,3.980112174574157e-05,3.980112174574157e-05,8.378169443773505e-05,1.0,1.0,1.0,1.0,poly
37,132071.03703333333,2021-03-17T18:35:33.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,4.326927151710006e-05,5.132822481976999e-05,4.326927151710006e-05,5.350757079836995e-05,1.0,1.0,1.0,1.0,poly
38,576666.60985,2021-03-17T17:59:01.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,5.0350607324382236e-05,0.00036660622434903003,5.0350607324382236e-05,0.00038514142242756003,1.0,1.0,1.0,1.0,poly
39,388821.73333333334,2021-03-17T17:33:13.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,0.00015259811999649,0.000142923687838254,0.00014050466861701203,0.00015259811999649,1.0,1.0,1.0,1.0,poly
40,149359.328125,2021-03-17T16:56:45.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,4.820331931259813e-05,6.921383889786001e-05,4.820331931259813e-05,6.921383889786001e-05,1.0,1.0,1.0,1.0,poly
41,196859.7444333333,2021-03-17T16:30:57.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,0.0003115560992244,2.3072338736955002e-05,2.3072338736955002e-05,0.0003115560992244,2.0,1.0,1.0,2.0,poly
42,177774.79166666666,2021-03-17T16:03:45.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,3.182209805043e-05,6.227253138652501e-05,3.182209805043e-05,0.00010526283792433876,1.0,1.0,1.0,1.0,poly
43,224174.71777500003,2021-03-17T15:27:14.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,6.560179471347e-05,0.000103428341500596,6.560179471347e-05,0.000103428341500596,1.0,1.0,1.0,1.0,poly
44,379072.0,2021-03-17T14:58:50.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,0.00018794815688706002,0.00013762201091052005,9.952291294289995e-05,0.00018794815688706002,1.0,1.0,1.0,1.0,poly
45,369921.93333333335,2021-03-17T14:33:02.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,7.2643766976834e-05,0.0005900120729673,7.2643766976834e-05,0.0005900120729673,1.0,5.0,1.0,5.0,poly
46,198999.68376666665,2021-03-17T14:06:16.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,6.087955998498e-05,0.00011303970089313006,4.923989790637844e-05,0.00011303970089313006,1.0,1.0,1.0,1.0,poly
47,195772.36725,2021-03-17T13:26:53.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,5.044229945662557e-05,7.757690052855001e-05,5.044229945662557e-05,0.00038583121083846,1.0,5.0,1.0,5.0,poly
48,233836.09523333333,2021-03-17T12:59:43.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,9.102216776112e-05,3.124494848811e-05,3.124494848811e-05,0.00013995775425310714,1.0,1.0,1.0,1.0,poly
49,191657.80000000002,2021-03-17T12:31:23.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,9.455322160154995e-05,5.1347770490592e-05,5.1347770490592e-05,9.455322160154995e-05,1.0,1.0,1.0,1.0,poly
50,128956.22810000001,2021-03-17T11:55:40.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,4.7796333925573907e-05,4.328987508363212e-05,4.328987508363212e-05,5.364313616571e-05,1.0,1.0,1.0,1.0,poly
51,175390.3737333333,2021-03-17T11:26:56.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,7.471133799957e-05,6.512993259456005e-05,5.684229955224538e-05,7.471133799957e-05,1.0,1.0,1.0,1.0,poly
52,58266.55556666667,2021-03-17T11:02:04.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,1.8646217132940053e-05,0.00190362466209024,1.8646217132940053e-05,0.00190362466209024,1.0,128.0,1.0,128.0,poly
53,211766.308975,2021-03-17T10:26:18.000Z,4,0.37380153,0.37380153,0.37380153,0.37380153,1.6838936563134003e-05,0.00019282389945633006,1.6838936563134003e-05,0.00019282389945633006,1.0,1.0,1.0,1.0,poly
54,148058.92593333335,2021-03-17T09:58:46.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,5.1929629952190005e-05,7.706994259517004e-05,3.703438658475e-05,7.706994259517004e-05,1.0,1.0,1.0,1.0,poly
55,198428.7381,2021-03-17T09:31:36.000Z,3,0.37380153,0.37380153,0.37380153,0.37380153,2.8368438919662883e-05,5.9625642752595e-05,2.8368438919662883e-05,0.00013452481602099,1.0,1.0,1.0,1.0,poly
