,avgGas,timestamp,samples,tokenPrice_open,tokenPrice_close,tokenPrice_low,tokenPrice_high,txFee_open,txFee_close,txFee_low,txFee_high,gasPrice_open,gasPrice_close,gasPrice_low,gasPrice_high,token_name
0,154552.41150000002,2024-05-01T12:55:51.195Z,30,3330.94,3330.94,3330.94,3330.94,0.032313077727155665,0.030945882487999097,0.025943039687901546,0.03873750246177139,0.062,0.0613,0.0594,0.132,linea
1,155635.5045966666,2024-05-01T12:25:49.452Z,30,3330.94,3330.94,3330.94,3330.94,0.030550997853085744,0.03255418459940237,0.025906104515143566,0.041667314589589916,0.0613,0.0629,0.0595,2.0,linea
2,159346.04094999997,2024-05-01T11:55:47.805Z,30,3330.94,3330.94,3330.94,3330.94,0.029974795621913904,0.03345741997086491,0.028245264159359636,0.04007048398889052,0.061,0.0649,0.061,2.0,linea
3,143995.38227333332,2024-05-01T11:25:46.224Z,30,3330.94,3330.94,3330.94,3330.94,0.03116198055540291,0.03349500346422756,0.028130573423476298,0.04932895749331961,0.0672,0.0699,0.0582,2.0,linea
4,149969.339,2024-05-01T10:55:44.548Z,30,3330.94,3330.94,3330.94,3330.94,0.04374408397038078,0.03581562800441049,0.02862173310034178,0.04374408397038078,0.0708,0.0734,0.07,2.0,linea
5,148593.92584,2024-05-01T10:25:42.970Z,30,3330.94,3330.94,3330.94,3330.94,0.0319115073357646,0.03742743696252199,0.03108210298996995,0.04449487056068235,0.0737,0.0757,0.07,2.0,linea
6,145539.02637666668,2024-05-01T09:55:41.304Z,30,3330.94,3330.94,3330.94,3330.94,0.042600863262963216,0.03355785095630559,0.031375117683788485,0.04417172971861351,0.0756,0.0748,0.0726,2.0,linea
7,142464.8294533333,2024-05-01T09:25:39.738Z,30,3330.94,3330.94,3330.94,3330.94,0.03791171981779308,0.0332686460068585,0.0273353295248574,0.04392032160234103,0.0748,0.0726,0.0715,2.0,linea
8,153449.28463793104,2024-05-01T08:56:38.158Z,29,3330.94,3330.94,3330.94,3330.94,0.037742564494448204,0.034317870444023596,0.031626725681809416,1.1034744627261202,0.0729,0.0697,0.0675,2.0,linea
9,153839.43480333328,2024-05-01T08:26:36.587Z,30,3330.94,3330.94,3330.94,3330.94,0.029039540259956798,0.03650015507123281,0.028405538379185226,0.06368072386373624,0.0695,0.0648,0.0642,2.0,linea
10,161272.36254000003,2024-05-01T07:56:34.987Z,30,3330.94,3330.94,3330.94,3330.94,0.03254602405954663,0.0326711047454857,0.025314105779044926,0.04345455730735668,0.0642,0.0593,0.0582,0.3185,linea
11,158710.35545666667,2024-05-01T07:26:33.449Z,30,3330.94,3330.94,3330.94,3330.94,0.027430790798115258,0.04250896726389918,0.02429459622646296,0.06939319332496535,0.059,0.0632,0.0565,2.0,linea
12,157949.61776666666,2024-05-01T06:56:31.842Z,30,3330.94,3330.94,3330.94,3330.94,0.03468134378944771,0.02905625091428606,0.023790537213475516,0.04756247918396201,0.0582,0.0582,0.0564,2.0,linea
13,137549.37197666665,2024-05-01T06:26:30.286Z,30,3330.94,3330.94,3330.94,3330.94,0.022755835248283486,0.027676276475654103,0.02266395244553768,0.034826315288921106,0.0582,0.0582,0.0582,0.075,linea
14,142565.5898566667,2024-05-01T05:56:28.637Z,30,3330.94,3330.94,3330.94,3330.94,0.029913746958149152,0.023235081096124478,0.02312167570310188,0.034577631315508686,0.0582,0.0582,0.0564,2.0,linea
15,136192.2449166667,2024-05-01T05:26:27.042Z,30,3330.94,3330.94,3330.94,3330.94,0.024255361763248388,0.027847437973197598,0.02126747532094788,0.030678338146227786,0.0582,0.06,0.0564,2.0,linea
