,date,avg_count,avg_base_fee_per_gas
0,2020-01-01,93.67991967871517,
1,2020-01-02,89.03662616657904,
2,2020-01-03,89.18138607789048,
3,2020-01-04,85.09497716895031,
4,2020-01-05,80.86683107274963,
5,2020-01-06,95.1298208320682,
6,2020-01-07,98.95576304913534,
7,2020-01-08,100.6668206312546,
8,2020-01-09,95.16064318529841,
9,2020-01-10,92.36681422683563,
10,2020-01-11,84.19301470588276,
11,2020-01-12,80.42225633154241,
12,2020-01-13,86.45091743119289,
13,2020-01-14,102.94988505747132,
14,2020-01-15,107.67792167745895,
15,2020-01-16,106.17618245828868,
16,2020-01-17,103.30676439151026,
17,2020-01-18,96.41052793124588,
18,2020-01-19,93.66331811263312,
19,2020-01-20,91.94016569499854,
20,2020-01-21,85.05203895313437,
21,2020-01-22,79.38303461063046,
22,2020-01-23,84.03543726235692,
23,2020-01-24,76.31793061099185,
24,2020-01-25,67.09520875057773,
25,2020-01-26,66.02602001539658,
26,2020-01-27,72.73214285714276,
27,2020-01-28,80.82998003378907,
28,2020-01-29,84.19004732101945,
29,2020-01-30,87.73279603223814,
30,2020-01-31,89.8995222684547,
31,2020-02-01,84.1185265104808,
32,2020-02-02,81.0913262964661,
33,2020-02-03,95.21627835683603,
34,2020-02-04,79.877551020408,
35,2020-02-05,94.60656753407685,
36,2020-02-06,93.07934315530996,
37,2020-02-07,96.21324320172097,
38,2020-02-08,102.31158187722264,
39,2020-02-09,96.84655677091379,
40,2020-02-10,101.45024271844656,
41,2020-02-11,108.55218855218848,
42,2020-02-12,123.49713755222022,
43,2020-02-13,118.00077148588171,
44,2020-02-14,118.8706299091325,
45,2020-02-15,108.02703955500624,
46,2020-02-16,100.9600122100126,
47,2020-02-17,107.85884907709004,
48,2020-02-18,113.26898148148152,
49,2020-02-19,106.12124447155712,
50,2020-02-20,106.4197530864198,
51,2020-02-21,103.5586100386102,
52,2020-02-22,92.80928308823528,
53,2020-02-23,92.81843233312915,
54,2020-02-24,106.11047677827509,
55,2020-02-25,103.81923791821588,
56,2020-02-26,107.9854473039212,
57,2020-02-27,109.70090588054678,
58,2020-02-28,105.93662513459486,
59,2020-02-29,95.17794140205552,
60,2020-03-01,96.76674364896074,
61,2020-03-02,104.31302617480507,
62,2020-03-03,101.74111675126883,
63,2020-03-04,101.5859853121178,
64,2020-03-05,112.35980652207824,
65,2020-03-06,103.04491473812412,
66,2020-03-07,96.48195718654416,
67,2020-03-08,101.12408424908443,
68,2020-03-09,121.92271808427928,
69,2020-03-10,117.04955370883349,
70,2020-03-11,109.21504058814514,
71,2020-03-12,117.98712779156322,
72,2020-03-13,132.8654026950799,
73,2020-03-14,105.05855161787365,
74,2020-03-15,100.9754337478887,
75,2020-03-16,120.85295930949432,
76,2020-03-17,117.23767091719168,
77,2020-03-18,117.6599295666821,
78,2020-03-19,133.294816414687,
79,2020-03-20,127.74362958359222,
80,2020-03-21,133.06998758535107,
81,2020-03-22,118.44365079365043,
82,2020-03-23,124.26147642679902,
83,2020-03-24,124.74795211090084,
84,2020-03-25,120.07985566363368,
85,2020-03-26,119.2727693732633,
86,2020-03-27,114.24717729630738,
87,2020-03-28,102.91707768187445,
88,2020-03-29,92.4971854556518,
89,2020-03-30,112.07492260061888,
90,2020-03-31,113.06381334981464,
91,2020-04-01,104.22813978330518,
92,2020-04-02,111.12800740283744,
93,2020-04-03,110.72284357285145,
94,2020-04-04,96.43383145894333,
95,2020-04-05,94.36007376671279,
96,2020-04-06,119.89740401057048,
97,2020-04-07,119.54104363747332,
98,2020-04-08,127.68732697631503,
99,2020-04-09,112.28615527087506,
100,2020-04-10,114.4501918649268,
101,2020-04-11,106.1327199001871,
102,2020-04-12,103.1043914298737,
103,2020-04-13,114.33271889400896,
104,2020-04-14,125.57420549213184,
105,2020-04-15,122.03851486673835,
106,2020-04-16,122.17251507188126,
107,2020-04-17,121.89899146625277,
108,2020-04-18,121.52560521415316,
109,2020-04-19,114.3325111761986,
110,2020-04-20,127.5992918719216,
111,2020-04-21,126.2953239086528,
112,2020-04-22,121.974849560253,
113,2020-04-23,128.04415866129523,
114,2020-04-24,130.760809141445,
115,2020-04-25,123.4495169834841,
116,2020-04-26,124.17915763394252,
117,2020-04-27,130.3568882690223,
118,2020-04-28,130.60015576324005,
119,2020-04-29,137.58519767085463,
120,2020-04-30,141.04735769170378,
121,2020-05-01,127.7433204633206,
122,2020-05-02,118.3727399165507,
123,2020-05-03,122.985360535742,
124,2020-05-04,118.33588136370597,
125,2020-05-05,120.73747310175212,
126,2020-05-06,130.52082680864393,
127,2020-05-07,135.88365608055773,
128,2020-05-08,136.8726487819922,
129,2020-05-09,139.79087214754554,
130,2020-05-10,135.40012320961057,
131,2020-05-11,137.92602952602925,
132,2020-05-12,137.6489527977491,
133,2020-05-13,132.16563849475688,
134,2020-05-14,127.07978311386518,
135,2020-05-15,138.36073485909924,
136,2020-05-16,136.6807247735084,
137,2020-05-17,124.9364858599906,
138,2020-05-18,133.88151732750603,
139,2020-05-19,132.79642968994705,
140,2020-05-20,132.51386522075842,
141,2020-05-21,134.42354763749069,
142,2020-05-22,144.22823862741984,
143,2020-05-23,133.3371718102251,
144,2020-05-24,128.8028388706912,
145,2020-05-25,137.60914662894854,
146,2020-05-26,141.55217659771438,
147,2020-05-27,139.0777467411545,
148,2020-05-28,141.47278964603112,
149,2020-05-29,147.53947777432313,
150,2020-05-30,136.94875776397575,
151,2020-05-31,131.2900386100382,
152,2020-06-01,145.27011404468044,
153,2020-06-02,151.88943945494017,
