,date,avg_count
0,2020-01-01,1446.7528735632177
1,2020-01-02,2096.219858156027
2,2020-01-03,1872.8816568047337
3,2020-01-04,1709.6130952380963
4,2020-01-05,1765.5153374233132
5,2020-01-06,2215.8962962962974
6,2020-01-07,1954.9943181818187
7,2020-01-08,2239.57042253521
8,2020-01-09,2051.3184713375804
9,2020-01-10,2219.6912751677846
10,2020-01-11,1896.1349693251543
11,2020-01-12,1875.072847682119
12,2020-01-13,2039.13986013986
13,2020-01-14,2392.7793103448275
14,2020-01-15,2203.0331125827797
15,2020-01-16,2049.981132075473
16,2020-01-17,2037.6855345911947
17,2020-01-18,2176.0378787878785
18,2020-01-19,1893.0666666666675
19,2020-01-20,2063.559210526318
20,2020-01-21,2060.196078431373
21,2020-01-22,2106.320512820514
22,2020-01-23,2074.955974842766
23,2020-01-24,2065.046052631579
24,2020-01-25,1741.365853658536
25,2020-01-26,1826.9020979020972
26,2020-01-27,2164.651162790697
27,2020-01-28,2394.732394366197
28,2020-01-29,2128.5125
29,2020-01-30,2131.782051282052
30,2020-01-31,2322.4583333333326
31,2020-02-01,2011.4172185430473
32,2020-02-02,2034.1188811188808
33,2020-02-03,2236.5675675675675
34,2020-02-04,2342.3484848484854
35,2020-02-05,2318.2641509433965
36,2020-02-06,2336.0740740740735
37,2020-02-07,2409.625899280576
38,2020-02-08,2290.3812949640283
39,2020-02-09,2072.35294117647
40,2020-02-10,2443.4754098360645
41,2020-02-11,2470.1554054054045
42,2020-02-12,2426.866197183099
43,2020-02-13,2411.921985815604
44,2020-02-14,2415.392592592593
45,2020-02-15,2272.6830985915485
46,2020-02-16,2058.0000000000005
47,2020-02-17,2175.1019108280257
48,2020-02-18,2207.0
49,2020-02-19,2374.5035460992917
50,2020-02-20,2512.9047619047637
51,2020-02-21,2197.9480519480526
52,2020-02-22,2058.087837837837
53,2020-02-23,2011.11971830986
54,2020-02-24,2332.553191489361
55,2020-02-25,2323.5624999999995
56,2020-02-26,2426.2279411764707
57,2020-02-27,2304.632653061225
58,2020-02-28,2332.8481012658226
59,2020-02-29,2212.424460431654
60,2020-03-01,1750.5593220338978
61,2020-03-02,2300.812080536913
62,2020-03-03,2237.4117647058806
63,2020-03-04,2148.17365269461
64,2020-03-05,2144.3496932515327
65,2020-03-06,2183.1161290322584
66,2020-03-07,1995.6178343949036
67,2020-03-08,1915.7848101265824
68,2020-03-09,2321.406666666669
69,2020-03-10,2497.712121212121
70,2020-03-11,2415.899159663865
71,2020-03-12,2317.735099337749
72,2020-03-13,2214.383999999999
73,2020-03-14,2186.15625
74,2020-03-15,1875.882352941176
75,2020-03-16,2272.2605042016794
76,2020-03-17,2262.813008130081
77,2020-03-18,2312.539999999999
78,2020-03-19,2483.0747663551406
79,2020-03-20,2610.954128440367
80,2020-03-21,1983.032258064516
81,2020-03-22,1646.8818897637802
82,2020-03-23,2319.7857142857147
83,2020-03-24,2107.0530303030296
84,2020-03-25,2371.478260869565
85,2020-03-26,1830.1750000000004
86,2020-03-27,1784.1677419354835
87,2020-03-28,1782.422222222222
88,2020-03-29,1541.8543046357622
89,2020-03-30,1883.183673469388
90,2020-03-31,1825.3270440251567
91,2020-04-01,1842.18954248366
92,2020-04-02,1955.3986928104591
93,2020-04-03,2111.840909090909
94,2020-04-04,1613.2101910828028
95,2020-04-05,1372.9085714285711
96,2020-04-06,2191.1718749999995
97,2020-04-07,1861.72619047619
98,2020-04-08,1990.0208333333348
99,2020-04-09,1861.7272727272727
100,2020-04-10,1770.4601226993864
101,2020-04-11,1558.8176100628934
102,2020-04-12,1493.6535947712418
103,2020-04-13,1684.8713450292398
104,2020-04-14,1782.0892857142865
105,2020-04-15,1835.816568047336
106,2020-04-16,2096.7727272727275
107,2020-04-17,2237.9685039370083
108,2020-04-18,1829.962025316456
109,2020-04-19,1657.7894736842104
110,2020-04-20,1930.496894409938
111,2020-04-21,2086.2483221476527
112,2020-04-22,2127.90076335878
113,2020-04-23,2317.2183098591554
114,2020-04-24,2222.6041666666665
115,2020-04-25,2064.7426470588234
116,2020-04-26,1845.4963503649635
117,2020-04-27,2207.2127659574453
118,2020-04-28,2100.4870129870133
119,2020-04-29,2285.5241379310355
120,2020-04-30,2384.9777777777767
121,2020-05-01,2415.418439716312
122,2020-05-02,1937.6554054054047
123,2020-05-03,1677.0952380952378
124,2020-05-04,2063.9113924050635
125,2020-05-05,2082.7531645569607
126,2020-05-06,2164.9025974025967
127,2020-05-07,2326.43537414966
128,2020-05-08,2362.2262773722623
129,2020-05-09,2297.051470588236
130,2020-05-10,1686.9941176470577
131,2020-05-11,1948.0191082802548
132,2020-05-12,2364.4863013698628
133,2020-05-13,2494.084033613446
134,2020-05-14,2357.4561403508783
135,2020-05-15,2485.1359999999986
136,2020-05-16,2353.6111111111104
137,2020-05-17,2321.647058823529
138,2020-05-18,2138.4609374999995
139,2020-05-19,2390.408695652176
140,2020-05-20,2435.104347826088
141,2020-05-21,2278.496183206108
142,2020-05-22,2511.567567567568
143,2020-05-23,2262.4369747899173
144,2020-05-24,1849.3965517241384
145,2020-05-25,2126.9999999999995
146,2020-05-26,2385.338709677419
147,2020-05-27,2122.659420289855
148,2020-05-28,2289.3893129770995
149,2020-05-29,2212.283464566929
150,2020-05-30,1833.6282051282053
151,2020-05-31,1722.8466666666664
152,2020-06-01,2300.8358208955215
153,2020-06-02,2357.4728682170557
154,2020-06-03,2258.9928057553943
155,2020-06-04,2107.8476821192053
156,2020-06-05,1827.2737430167592
157,2020-06-06,1453.4336734693884
