,date,avg_count
0,2021-01-01,468.55955514453046
1,2021-01-02,474.7639734617829
2,2021-01-03,482.9727038321327
3,2021-01-04,535.6055787890078
4,2021-01-05,562.3357557655003
5,2021-01-06,577.3384812697058
6,2021-01-07,578.9151532654532
7,2021-01-08,548.746160185809
8,2021-01-09,534.5195194397007
9,2021-01-10,545.2026932154765
10,2021-01-11,579.566433124596
11,2021-01-12,560.9344043985299
12,2021-01-13,515.4274668205425
13,2021-01-14,591.8247389678584
14,2021-01-15,582.3619573247576
15,2021-01-16,581.7288374221256
16,2021-01-17,604.9042376893946
17,2021-01-18,594.2416090302102
18,2021-01-19,591.3706243341783
19,2021-01-20,605.7915593785132
20,2021-01-21,599.3483013778249
21,2021-01-22,595.5561991016323
22,2021-01-23,581.7930230271012
23,2021-01-24,583.1866568793106
24,2021-01-25,587.7562101017651
25,2021-01-26,613.8725047926508
26,2021-01-27,579.8718888527738
27,2021-01-28,577.630824013575
28,2021-01-29,600.8169565154844
29,2021-01-30,551.7761310949204
30,2021-01-31,578.1323055578963
31,2021-02-01,606.9033779009726
32,2021-02-02,640.7296947768948
33,2021-02-03,680.0945651099673
34,2021-02-04,733.9694276717308
35,2021-02-05,783.897047423816
36,2021-02-06,767.2674975709436
37,2021-02-07,756.0910543759804
38,2021-02-08,742.1049843675313
39,2021-02-09,771.9891194227774
40,2021-02-10,792.8889913426576
41,2021-02-11,784.2246526122211
42,2021-02-12,768.3105791739027
43,2021-02-13,789.300137891513
44,2021-02-14,805.0728971093974
45,2021-02-15,816.1102071077134
46,2021-02-16,772.3285268177024
47,2021-02-17,761.0981738126718
48,2021-02-18,794.7245749613595
49,2021-02-19,912.3394343451075
50,2021-02-20,1004.2579749987036
51,2021-02-21,947.3287250513991
52,2021-02-22,933.2930969111783
53,2021-02-23,970.323924910132
54,2021-02-24,1007.1439874580498
55,2021-02-25,1060.5783054973583
56,2021-02-26,1040.9844591495762
57,2021-02-27,1063.6863835295576
58,2021-02-28,1051.3181783767427
59,2021-03-01,1026.4000076602915
60,2021-03-02,985.4793072333777
61,2021-03-03,827.990494710043
62,2021-03-04,784.1958288622333
63,2021-03-05,734.7144234278932
64,2021-03-06,718.1501408840257
65,2021-03-07,709.8235910310794
66,2021-03-08,744.7036731516063
67,2021-03-09,764.6476399768882
68,2021-03-10,684.6971234589955
69,2021-03-11,604.7852164887302
70,2021-03-12,584.9030294534291
71,2021-03-13,558.6334473188986
72,2021-03-14,564.1156050469607
73,2021-03-15,581.1298666784776
74,2021-03-16,570.2474473039953
75,2021-03-17,527.3667082531554
76,2021-03-18,512.0973360110657
77,2021-03-19,526.7186019156443
78,2021-03-20,522.624926441407
79,2021-03-21,515.605188825806
80,2021-03-22,551.1957605712754
81,2021-03-23,555.3193554521778
82,2021-03-24,547.2262599215841
83,2021-03-25,570.6264974761852
84,2021-03-26,556.8996417089087
85,2021-03-27,547.2655811963278
86,2021-03-28,540.226397010199
87,2021-03-29,538.3495766025436
88,2021-03-30,535.6997358227343
89,2021-03-31,540.7170647909569
90,2021-04-01,533.9343569471565
91,2021-04-02,528.1912087735882
92,2021-04-03,540.1998032110941
93,2021-04-04,545.0310023905821
94,2021-04-05,527.7188345351453
95,2021-04-06,555.9585102546936
96,2021-04-07,568.885924709852
97,2021-04-08,551.6387152581888
98,2021-04-09,551.644547267888
99,2021-04-10,558.0995464063993
100,2021-04-11,546.4500377059853
101,2021-04-12,548.3964401534081
102,2021-04-13,557.3250284834726
103,2021-04-14,561.4259798657204
104,2021-04-15,555.2858015733591
105,2021-04-16,556.9239019090486
106,2021-04-17,553.5317845153721
107,2021-04-18,571.0165060818084
108,2021-04-19,559.1976663251658
109,2021-04-20,568.609671575963
110,2021-04-21,585.7575983691679
111,2021-04-22,627.8446535167395
112,2021-04-23,628.3024663280517
113,2021-04-24,603.4482064741906
114,2021-04-25,606.2240903016905
115,2021-04-26,607.5820599960779
116,2021-04-27,592.0593606717836
117,2021-04-28,592.7593226422589
118,2021-04-29,590.4401224539987
119,2021-04-30,589.6236636438578
120,2021-05-01,590.4779183095004
121,2021-05-02,598.9287251621132
122,2021-05-03,592.7619363688665
123,2021-05-04,604.3380045589497
124,2021-05-05,589.04213734568
125,2021-05-06,581.3379702666372
126,2021-05-07,584.0970094707858
127,2021-05-08,592.3339832912022
128,2021-05-09,599.2277584957487
129,2021-05-10,622.2294712049834
130,2021-05-11,626.007076934573
