,date,avg_fee,avg_value
111,2020-04-21,326770135.7653765,7155391524469.13
112,2020-04-22,210886688.90515065,6642865813594.241
113,2020-04-23,205174315.26393384,10061334166418.184
114,2020-04-24,229442163.63791707,7098472874584.544
115,2020-04-25,210021674.33110428,5912465280439.845
116,2020-04-26,214398477.80021676,33461294651324.88
117,2020-04-27,285461895.01591855,11896871975594.56
118,2020-04-28,245956245.98918125,10781120352458.732
119,2020-04-29,243459753.5676096,13437085166845.752
120,2020-04-30,240210324.9820832,20678534864381.504
121,2020-05-01,234037227.2882599,8765962857539.538
122,2020-05-02,219011092.88434967,8005341996073.795
123,2020-05-03,223277569.6558573,10765117856183.04
124,2020-05-04,297264280.6960686,9649359759055.023
125,2020-05-05,237805333.91922545,9905055210858.316
126,2020-05-06,202182280.46738088,14581541865084.135
127,2020-05-07,196455329.94591287,16704427936899.492
128,2020-05-08,232025314.816834,14531829086330.88
129,2020-05-09,328399996.14050364,9084705272309.232
130,2020-05-10,214597141.88918576,12126103659463.912
131,2020-05-11,297330309.0179773,14745194955773.646
132,2020-05-12,221157514.81237677,11072512286002.717
133,2020-05-13,202471969.49840128,11655962184754.396
134,2020-05-14,321358369.8113708,12181025971198.82
135,2020-05-15,211058930.5593359,13805011914749.623
136,2020-05-16,197009708.5363128,12107063051215.367
137,2020-05-17,234334137.75780568,9801655022386.168
138,2020-05-18,262796080.5218937,9893572161356.73
139,2020-05-19,206618700.33352575,10361548300771.5
140,2020-05-20,218846683.43437085,10581958488332.713
141,2020-05-21,232517266.0095021,8922604981810.365
142,2020-05-22,211292224.632398,11251528325253.037
143,2020-05-23,196798622.78801584,7513479748811.186
144,2020-05-24,208919329.3629375,13490846533970.451
145,2020-05-25,276634575.192278,16573194587047.584
146,2020-05-26,253101120.6703572,8900003613405.682
147,2020-05-27,223801456.10709664,17876901342045.758
148,2020-05-28,220078742.5427488,15264519786254.496
149,2020-05-29,185043436.8814883,9381780278021.465
150,2020-05-30,186435486.86660647,9494414339846.371
151,2020-05-31,191963372.170917,13242867422076.646
152,2020-06-01,309900622.35732746,16858325267089.191
153,2020-06-02,181664534.73081756,24728383070653.723
154,2020-06-03,192137867.0892252,13401216244462.072
155,2020-06-04,208788025.5260909,19458607886683.117
156,2020-06-05,257743473.10820636,14115191548634.812
157,2020-06-06,179130387.30504024,12264899909264.443
158,2020-06-07,235655518.77525008,14373147190823.926
159,2020-06-08,171332289.5201113,12560275401387.404
160,2020-06-09,234932358.99230593,18686533468684.887
161,2020-06-10,201983178.19154215,12007359427735.379
162,2020-06-11,222188832.84912923,11536557296764.18
163,2020-06-12,185440046.9016882,12848243841756.078
164,2020-06-13,202629429.7674572,23585767635508.65
165,2020-06-14,243645109.3517252,17198543618289.623
166,2020-06-15,198077922.36644527,31296896195929.12
167,2020-06-16,185765809.42630872,11864727377794.135
168,2020-06-17,189410734.67052084,13460181047430.266
169,2020-06-18,243028335.18766809,12911565051859.482
170,2020-06-19,190281416.1323929,10913328196158.488
171,2020-06-20,244042088.81375363,10730760279340.572
172,2020-06-21,194376125.43070608,10773581467648.646
173,2020-06-22,272644495.4062628,15700841463210.5
174,2020-06-23,202688717.10920492,18141473001456.2
175,2020-06-24,229318034.6523882,35295170595012.04
176,2020-06-25,186108109.01242876,16349181767493.371
177,2020-06-26,191699344.31611285,13363778795704.553
178,2020-06-27,169818604.38027263,13092524412202.604
179,2020-06-28,166446849.13003775,11382169569328.309
180,2020-06-29,253111077.4554748,12829735540912.184
181,2020-06-30,241896188.9833028,25833667898276.19
182,2020-07-01,170908530.0901257,14503576117381.451
183,2020-07-02,185802340.2564038,13598960373314.988
184,2020-07-03,193369050.73645657,13802174316107.42
185,2020-07-04,215043238.9094557,14030383106252.836
186,2020-07-05,169036436.55924144,13347237057541.135
187,2020-07-06,241243488.27307323,20047278555633.938
188,2020-07-07,208851278.98765865,51206085604478.336
189,2020-07-08,318728545.1413136,122525178489597.5
190,2020-07-09,203553622.9271143,75940978903008.3
191,2020-07-10,182109539.19468328,60130611877275.05
192,2020-07-11,175349385.2136584,25368923635112.523
193,2020-07-12,214552479.55576405,14295033843266.146
194,2020-07-13,303275975.67002314,27672386437195.39
195,2020-07-14,224697372.6902468,16323954663011.576
196,2020-07-15,206346648.79487693,14376540330676.812
197,2020-07-16,199818512.8982647,17771409869683.906
198,2020-07-17,214501711.35180292,14918080052316.684
199,2020-07-18,206088273.88638064,18679021705539.8
200,2020-07-19,278581911.6243628,19813218881873.05
201,2020-07-20,264090281.29409724,19750196454294.65
202,2020-07-21,225057885.310454,14136990669458.176
203,2020-07-22,209791523.14818567,18732265768574.8
204,2020-07-23,224205731.53444037,16511818583246.629
205,2020-07-24,183904428.5430984,16932813057214.885
206,2020-07-25,196092364.9305668,24075367944149.56
207,2020-07-26,258954952.9393596,18245560066980.223
208,2020-07-27,186055954.11174127,24374801047477.2
209,2020-07-28,183988715.56114036,22384734942220.246
210,2020-07-29,242408637.0802827,20302923811401.062
211,2020-07-30,219835027.22491953,22933116115939.094
212,2020-07-31,236700705.3329768,29778847288277.543
213,2020-08-01,193124571.06798044,20182463044751.625
214,2020-08-02,209940907.74672168,16093636840517.81
215,2020-08-03,299034055.3507802,32237337884138.098
216,2020-08-04,236508268.8743219,17405569988198.49
217,2020-08-05,213553888.140506,18535157174136.133
218,2020-08-06,237275222.85787296,17513996536739.367
219,2020-08-07,193856530.74274755,16862481325819.488
220,2020-08-08,185889067.46881944,17319869642417.225
221,2020-08-09,191338190.2451088,19446946706070.637
222,2020-08-10,240584699.89784884,17357406954007.402
223,2020-08-11,277560062.6280792,22092513161275.938
224,2020-08-12,224212862.45273516,26997276709000.215
225,2020-08-13,198850208.20905524,21696041584194.168
226,2020-08-14,203537496.06419235,19524088916771.4
227,2020-08-15,210553618.19805792,18948200928927.605
228,2020-08-16,238385204.42037657,18062328089431.2
229,2020-08-17,187282048.587984,25114779253251.285
230,2020-08-18,222774816.93822277,20592294996314.2
231,2020-08-19,192894869.1417671,24767051274395.785
232,2020-08-20,239515021.2224796,35038139805926.88
233,2020-08-21,192550889.57496607,25194074598064.867
234,2020-08-22,255815799.82906044,37645114483998.69
235,2020-08-23,238726779.48669767,30533823097949.12
236,2020-08-24,195928089.56880903,41333848836763.25
237,2020-08-25,228266176.42593136,48370829899205.516
238,2020-08-26,193467769.6482058,42832517470475.01
239,2020-08-27,217427524.147656,36940258569857.59
240,2020-08-28,238740600.2480465,37979199328759.03
241,2020-08-29,211689589.25575384,36440700237575.86
242,2020-08-30,287902216.3114907,36679373043197.336
243,2020-08-31,251325720.26277468,42366298920486.07
244,2020-09-01,240127938.4613344,35195607663327.58
245,2020-09-02,188086614.4085273,42630848639179.83
246,2020-09-03,279987516.7992856,39946110040108.13
247,2020-09-04,195120835.56421328,47613877395486.234
248,2020-09-05,193633832.0522056,47666691749242.35
249,2020-09-06,257942455.01670524,47016794639301.945
250,2020-09-07,211726120.29398528,41552008391666.9
251,2020-09-08,258559988.58156127,39061408485120.09
252,2020-09-09,207263713.9202637,46915804748419.61
253,2020-09-10,267735550.6804223,53373597490647.45
254,2020-09-11,218709341.08124268,42227914922412.55
255,2020-09-12,251195332.29287156,54025583491494.69
256,2020-09-13,290751196.2642742,46410816613969.3
257,2020-09-14,211670019.74516723,51743708635967.22
258,2020-09-15,277352628.9416479,42988822316424.93
259,2020-09-16,243315321.95348683,22790787704461.1
260,2020-09-17,223110048.9423459,51065321257495.02
261,2020-09-18,283052211.2487253,9465835422509.365
262,2020-09-19,214953386.07232416,8947990054689.31
263,2020-09-20,309019226.24037206,5390756308157.532
264,2020-09-21,224877789.1812457,19817487956913.51
265,2020-09-22,244624281.6454909,25004476907436.215
266,2020-09-23,262543354.17739528,26544314028644.254
267,2020-09-24,236681450.29802528,20932578762845.42
268,2020-09-25,248133665.366306,19186640614615.566
269,2020-09-26,207180425.4622182,16008290772631.256
270,2020-09-27,311769574.78095967,28980810080181.48
271,2020-09-28,212146538.19585523,20610086909092.734
272,2020-09-29,249256702.33640617,19156849009687.246
273,2020-09-30,213868113.3485708,14081413580747.775
274,2020-10-01,287697978.39966047,27388470732066.355
275,2020-10-02,277011201.63448006,22337128569565.203
276,2020-10-03,274123442.62392986,24385189690949.746
277,2020-10-04,208059529.23970872,14468387080481.992
278,2020-10-05,266826337.02097693,10653865083854.852
279,2020-10-06,284708789.3142317,12519637033268.309
280,2020-10-07,204132109.1604066,12561075405958.932
281,2020-10-08,208492740.24672687,12706184706554.752
282,2020-10-09,223826729.190234,19077040079924.004
283,2020-10-10,314224105.75995433,24062410150143.668
284,2020-10-11,265820645.51759,10154861366948.516
285,2020-10-12,205663943.03773156,24446776388385.4
286,2020-10-13,280737810.54189897,14350543282831.111
287,2020-10-14,251999760.56877953,17957541930428.99
288,2020-10-15,278799183.98501515,14021581663033.049
289,2020-10-16,217616454.53841752,10727991643098.582
290,2020-10-17,216758283.37972328,9230438687556.963
291,2020-10-18,212580699.1604298,5940971335367.32
292,2020-10-19,332038918.7384631,7318903812905.437
293,2020-10-20,204237333.0600172,10362102950913.992
294,2020-10-21,247089224.94437748,8158528169773.591
295,2020-10-22,253242483.74344367,6990211746819.816
296,2020-10-23,224829071.12511203,6452710413338.121
297,2020-10-24,213665504.73839816,6615037020759.388
298,2020-10-25,254567582.79912785,7761544632372.848
299,2020-10-26,249795776.45889783,13102967813673.656
300,2020-10-27,260740992.9225028,8992265795475.28
301,2020-10-28,209863417.65827984,7453143104351.639
302,2020-10-29,294722291.5734416,7644979113063.842
303,2020-10-30,204262849.4616236,8412388475394.899
304,2020-10-31,204174063.80173585,5491297024691.842
305,2020-11-01,265368161.79767007,6547598077741.06
306,2020-11-02,222233132.66902184,7204778168956.719
307,2020-11-03,265366424.45402125,11141375550038.52
308,2020-11-04,282827455.3952728,4939524004516.148
309,2020-11-05,309374010.9933291,6125141334721.494
310,2020-11-06,321945126.0971073,6842834277100.001
311,2020-11-07,273739588.4907713,9281809716986.494
312,2020-11-08,362464820.2265065,6114316699866.11
313,2020-11-09,326985461.33630043,10975612299454.666
314,2020-11-10,299137009.24047244,8279206368968.862
315,2020-11-11,345481492.70804024,7972196071343.609
316,2020-11-12,321719974.8261561,7090821092633.84
317,2020-11-13,254435464.54969072,12873762355850.34
318,2020-11-14,260538106.04132473,6449213536759.337
319,2020-11-15,373536447.13474673,4899496844825.581
320,2020-11-16,349808092.7256521,10564334764428.227
321,2020-11-17,324258644.8444012,10714956652734.557
322,2020-11-18,266350290.34365523,9962162473938.354
323,2020-11-19,295760713.44821155,9917943936110.846
324,2020-11-20,327377088.0275505,11029467392002.332
325,2020-11-21,272132712.7091708,13590327907947.904
326,2020-11-22,378191932.09412503,8582393287394.355
327,2020-11-23,274134829.359524,6190160343632.388
328,2020-11-24,346452400.5653187,20562731268921.92
329,2020-11-25,289796581.6119816,13002679719941.275
330,2020-11-26,286418471.8418869,16605803869691.385
331,2020-11-27,402325648.3874532,17517803396533.133
332,2020-11-28,260522646.78855768,8135391447237.303
333,2020-11-29,256834078.0361223,5879657109338.56
334,2020-11-30,368084978.9908118,10661598089535.021
335,2020-12-01,335517413.736546,10620375354503.63
336,2020-12-02,271788767.4704294,5620141874070.597
337,2020-12-03,342624346.2367716,6657746508044.84
338,2020-12-04,317534612.75953126,6291279523621.175
339,2020-12-05,256831850.856918,4660300192588.586
