Start,End,Open,High,Low,Close,Volume,Market Cap
2024-12-31,2025-01-01,0.7312371266684196,0.7550923228260341,0.7157261790775926,0.722190978177298,399689086.9930314,3073655574.470383
2024-12-30,2024-12-31,0.74122413347336,0.7683474884256429,0.7203928427196653,0.732213584515579,352728190.7979094,3157617394.4634147
2024-12-29,2024-12-30,0.7741108035455606,0.7812779713849253,0.7380062584183694,0.7437638108829835,215613723.79094076,3225409170.902439
2024-12-28,2024-12-29,0.7617204795856263,0.7797003707485426,0.7506244399522006,0.7762374027492335,321012070.0592334,3214676158.1254354
2024-12-27,2024-12-28,0.7574215025272564,0.7939715970206092,0.7519052469623677,0.761023278451684,410632000.74216026,3245137865.8536587
2024-12-26,2024-12-27,0.8073358868856971,0.8088169331326489,0.7428193048492187,0.7541652097947953,388592732.88850176,3226186524.8466897
2024-12-25,2024-12-26,0.8167762787691715,0.8203991133117524,0.7906876953510044,0.8043785110223158,443448286.9894366,3387669495.397887
2024-12-24,2024-12-25,0.7991979893820217,0.8353423920086452,0.7819744506920022,0.8190922596846406,596291261.4982579,3394894095.02439
2024-12-23,2024-12-24,0.7458320248287804,0.8111620222549515,0.7298342390760073,0.798013526179559,601878971.0836236,3221399572.2369337
2024-12-22,2024-12-23,0.7439568607111106,0.7707880459783025,0.7235851380091058,0.7457471627774155,619616597.7456446,3160270235.5191636
2024-12-21,2024-12-22,0.798577892741595,0.845334767500674,0.7355671907530338,0.7456786320256459,993063855.6968641,3301664535.477352
2024-12-20,2024-12-21,0.7776469263637215,0.8135181343577067,0.6735776298455042,0.7970806860852618,1296377800.041812,3228945551.3623695
2024-12-19,2024-12-20,0.8611663675145169,0.8703085378038151,0.761817694758331,0.785202978419299,1147811333.4738677,3487450321.2961674
2024-12-18,2024-12-19,0.9473195190395046,0.9542581805298254,0.8597154315409902,0.8621882684498527,783331908.3275261,3798627376.9616723
2024-12-17,2024-12-18,0.9945636485856039,1.013625265630943,0.9369866535711562,0.9458675950689015,926364212.0139372,4036876569.118467
2024-12-16,2024-12-17,1.0135469610089511,1.0493936279794118,0.9659182933134929,1.0035011612186588,915566163.3519164,4121693984.2961674
2024-12-15,2024-12-16,0.9836188279743647,1.018424496527233,0.9580099588942764,1.018424496527233,625882029.0592334,4048664455.285714
2024-12-14,2024-12-15,1.0284064072726062,1.0483407242651008,0.9589977775584801,0.9849455976982802,823252806.1881533,4117708166.365854
2024-12-13,2024-12-14,1.030741600643299,1.0727790401655153,1.0024843114307525,1.0295651900060798,1193475772.5574913,4253625626.595819
2024-12-12,2024-12-13,0.993725601000464,1.0978354322342638,0.993725601000464,1.024476175258958,1105792532.7770035,4303061163.609756
2024-12-11,2024-12-12,0.9392655040958863,1.0190048332998123,0.8956193775064597,0.998413368125745,1368631831.261324,3957243572.8222995
2024-12-10,2024-12-11,0.9441631438093921,1.0106138976592525,0.8786562208848154,0.938628554404631,1992110189.1149826,3877836485.794425
2024-12-09,2024-12-10,1.1562934930057631,1.1602609176267653,0.8829385280056313,0.9639501772650751,906625373.8571428,4401932684.780488
2024-12-08,2024-12-09,1.1665886407570198,1.1857245716891072,1.1331598889306937,1.1613729744274248,616756934.7247387,4736773443.919861
2024-12-07,2024-12-08,1.173503678263586,1.1830228993349867,1.1521369338009273,1.1653265843821627,1119185713.707317,4791108061.571428
2024-12-06,2024-12-07,1.0993174517185014,1.2362768950489107,1.0982920761415187,1.1727911854533934,1390634278.402098,4788524222.34965
2024-12-05,2024-12-06,1.1344126270733064,1.157511351726941,1.0816265385029646,1.103410466084914,1729396100.395105,4623905725.073426
2024-12-04,2024-12-05,1.0488781642708023,1.186765635487634,1.0469656428501426,1.1356453774453872,1796609871.163763,4580496924.682927
2024-12-03,2024-12-04,1.0204848799535693,1.083595616779857,0.9639091994212946,1.0494062539791793,1750799177.5679443,4237537316.9860625
2024-12-02,2024-12-03,0.9682815495155849,1.0403137283197637,0.9047033196327454,1.025260043899852,1114567575.3344948,3942512594.087108
2024-12-01,2024-12-02,0.9741662677236246,0.9940578974788948,0.945554319984948,0.9668962264684731,783070062.6376307,3949199573.1533103
2024-11-30,2024-12-01,0.9273520487548016,0.9845810258972898,0.9226810407693596,0.974089616235475,863648081.9094076,3935203415.7003484
2024-11-29,2024-11-30,0.9131823141784748,0.9390729946916339,0.8935154725042938,0.9296562469572474,710413055.5365853,3752374810.69338
2024-11-28,2024-11-29,0.9656082301732384,0.9732743934782728,0.890479508059706,0.9151293748294319,1299129318.8501742,3765027373.770035
2024-11-27,2024-11-28,0.8637758443731983,0.9703461468481239,0.8506915328543581,0.9690042581925897,1217134403.28223,3743336707.958188
2024-11-26,2024-11-27,0.8990831366707185,0.9227437172251001,0.8330346105568357,0.870147330479924,1859612134.1881533,3599335569.56446
2024-11-25,2024-11-26,0.8525096772401324,0.9519080637228257,0.8238968718702102,0.9048028837267112,1508955350.1358886,3650852832.264808
2024-11-24,2024-11-25,0.8579301855104828,0.9093136604919038,0.7992545457445746,0.8602707737145514,1544201380.4947736,3491884139.8327527
2024-11-23,2024-11-24,0.8013608801358134,0.8763787989309182,0.7981697474059843,0.8537061772836774,1534843609.163763,3442920011.250871
2024-11-22,2024-11-23,0.7773011504984435,0.8358177874944934,0.7574254301194895,0.8092198405145317,1735977373.6132405,3210531877.1045294
2024-11-21,2024-11-22,0.6724804261170152,0.8140335338136875,0.651790428546948,0.7808061247845579,1228676150.027972,3010686427.7552447
2024-11-20,2024-11-21,0.6899073506511098,0.7087335277372317,0.649743897041477,0.6711579086968171,618361088.1602788,2794724844.118467
2024-11-19,2024-11-20,0.750970546161366,0.7523565511427835,0.6773999112520569,0.6929419496987229,926204498.7700348,2797693495.7038326
2024-11-18,2024-11-19,0.6733773339811591,0.7432381009663503,0.6733773339811591,0.737555679539344,774490312.1393728,2778476907.358885
2024-11-17,2024-11-18,0.7242133104567299,0.72949214526435,0.6617366654022475,0.6736261470388641,1351585117.2369337,2740711341.738676
2024-11-16,2024-11-17,0.6052882927195494,0.7590905710690314,0.6025885417750205,0.7247770999442548,669813378.8675958,2610827090.675958
2024-11-15,2024-11-16,0.5809816133734725,0.6129183437800763,0.5675497701679239,0.6061966307550394,570726532.8885018,2340293027.4982576
2024-11-14,2024-11-15,0.6124476297270758,0.6345269035843951,0.573746072995149,0.580232008953202,850861391.6236933,2415568342.7665505
2024-11-13,2024-11-14,0.6330846739082013,0.6428089394668494,0.5730463594544373,0.6111057623596235,1038648527.6341463,2414000940.247387
2024-11-12,2024-11-13,0.6644358746601879,0.6886803670170911,0.607817573140791,0.6342761909662503,1186183496.292683,2344204316.205575
2024-11-11,2024-11-12,0.6292833802106533,0.6706673061513413,0.6134324497966226,0.6706673061513413,956921529.8989547,2309072015.7456446
2024-11-10,2024-11-11,0.6147363304555865,0.6530973020535618,0.6042813958111639,0.6303523156050111,681587501.8466899,2277387587.414634
2024-11-09,2024-11-10,0.5890438807318447,0.6208148220935625,0.5797680334803148,0.6183732642539268,549216031.9825784,2167864273.574913
2024-11-08,2024-11-09,0.5834420506403525,0.5978797495351075,0.566727456618563,0.5914966523161629,560806314.3066202,2099456544.9930313
2024-11-07,2024-11-08,0.5490680705422827,0.5915762460176379,0.5461499032695308,0.5804719337369878,652534878.0418118,2076024847.8222997
2024-11-06,2024-11-07,0.49189854298764424,0.5543265249018429,0.49152129081556195,0.5484926212455357,497109133.4285714,1899529605.8710802
2024-11-05,2024-11-06,0.47447955629447425,0.49600189528714117,0.47313654493527657,0.4905235098751773,279318878.2195122,1750890397.5574913
2024-11-04,2024-11-05,0.48108225100479857,0.49027844497519246,0.46194267452900895,0.47293159695369297,310463338.3763066,1738092162.71777
2024-11-03,2024-11-04,0.5044989679070209,0.5052754637201249,0.46183999537145365,0.48273293037573883,325802764.07665503,1749448799.0139372
2024-11-02,2024-11-03,0.5206708450169433,0.5253735586907976,0.5013722996000727,0.503948134859335,238354844.7491289,1858817211.1393728
2024-11-01,2024-11-02,0.5274972042510433,0.5439017946449224,0.5127650944006661,0.519589840746497,283726523.19860625,1909316974.662021
2024-10-31,2024-11-01,0.5598043989225943,0.5610300038761811,0.5197847560925805,0.5269792275509673,344069958.73170733,1950981863.7700348
2024-10-30,2024-10-31,0.5475727801866113,0.5679561105752008,0.5397906828858283,0.5583106032272217,350636467.0209059,1998677005.1707318
2024-10-29,2024-10-30,0.5222592229835594,0.5490370138000981,0.5215074698021414,0.546304725408632,324643280.5888502,1940475071.9233449
