Start,End,Open,High,Low,Close,Volume,Market Cap
2024-12-31,2025-01-01,0.7300068474634879,0.7389228988557546,0.6772545386624179,0.6794537413413346,626816576.2961673,1996040354.5191638
2024-12-30,2024-12-31,0.7792539704221288,0.8096984514267618,0.6971812713863882,0.725978691103939,475096618.0034843,2154283318.087108
2024-12-29,2024-12-30,0.7885955471191057,0.8131926361236148,0.7725530696213316,0.7832554834741299,445855562.78397214,2210461297.041812
2024-12-28,2024-12-29,0.836265148601034,0.838729415164914,0.7823946212224291,0.7914000663905764,446203447.9860627,2280489712.8954706
2024-12-27,2024-12-28,0.8792290612517838,0.9184959041413276,0.8251075773974001,0.8299348980864439,501622582.1358885,2451426389.9860625
2024-12-26,2024-12-27,0.9761477592570565,0.9776508182382927,0.8686074333698126,0.8721705473970232,473224789.8606272,2570458863.4947734
2024-12-25,2024-12-26,0.9966358986344157,1.023268456298143,0.9610975901801314,0.9661358345634309,803639457.0387324,2777071353.0105634
2024-12-24,2024-12-25,1.0403776279098103,1.0403776279098103,0.9079916298682366,0.9989474172757947,920261507.9372822,2780744557
2024-12-23,2024-12-24,0.964024021805241,1.0450426944198092,0.938360863085735,1.039435738872586,695006258.4111499,2752716031.8013935
2024-12-22,2024-12-23,0.9612746895959978,1.0152432863040062,0.9346905897379516,0.9654139158937013,725592440.1289198,2742221249.7038326
2024-12-21,2024-12-22,0.9945831130825135,1.097448485743066,0.9545039331279178,0.9660730475694606,1097056571.651568,2864309897.8850174
2024-12-20,2024-12-21,0.991391330356673,1.0280029048129666,0.8531317902858033,0.9910748375252801,1345106993.6585367,2693464200.4947734
2024-12-19,2024-12-20,1.1137466004728516,1.1791544861871892,0.97934512731085,1.0006291430857763,1511116576.7595818,3086013665.550523
2024-12-18,2024-12-19,1.318338993185219,1.3570693231323585,1.1170592307496467,1.1170592307496467,939641825.7108014,3520224415.9268293
2024-12-17,2024-12-18,1.3903886594578396,1.4302308095190193,1.315125568552877,1.3184800392503286,866021030.7351916,3872544724.916376
2024-12-16,2024-12-17,1.4353697297553938,1.465647812890593,1.3451165468934754,1.3866271163031936,1349376442.1672473,3908616254.3728223
2024-12-15,2024-12-16,1.2264835918522279,1.442972123925584,1.1993848029605554,1.4371814497302338,697630787.1602788,3607008223.02439
2024-12-14,2024-12-15,1.3176315915135952,1.3215828014725404,1.215399311312338,1.2239919795527792,719806266.912892,3531074570.780488
2024-12-13,2024-12-14,1.2349668463395007,1.3087890685618082,1.1986356049345204,1.3086323536659616,717068141.6167247,3477154504.0034842
2024-12-12,2024-12-13,1.2478911797431613,1.3227243719107717,1.223200570955657,1.2348184150764119,820720871.6550523,3574127406.43554
